date;tweet;user;place
2021-02-21 03:52:17;b'by mrt redmi 6 ,6a, note 8 pro mi account ,flashing \nhttps://t.co/B7ilkq76Lp';b'Computere4U';b''
2021-02-21 03:44:32;b'#xiomi miui12 update redmi 8 heating issue, mobile hanging, touch not working some times.';b'Pradeep93112264';b''
2021-02-21 03:19:36;b'@sweetlittle___ Pake redmi note 8';b'KuasBasah';b''
2021-02-21 02:43:03;"b""One-click could save you over \xe2\x82\xb93000. \nRedmi Note 8 is cheaper by \xe2\x82\xb93005 on Amazon than Flipkart!\n\nUse Kaching's inst\xe2\x80\xa6 https://t.co/jq8l6QC0Us""";b'kaching_club';b''
2021-02-21 02:41:31;b'\xe2\x9c\xa8Samsung Galaxy A21s Vs Xiaomi Redmi Note 8: Which Mid-Range Device Should You Consider? - Mobility Arena - Mobile,\xe2\x80\xa6 https://t.co/xINykP1LEU';b'ezefidelity911';b'Nigeria'
2021-02-21 02:35:03;b'\xf0\x9f\x98\x8d Sprig Clear Tempered Glass for Mi Redmi 8 \xf0\x9f\x98\x8d\nby Sprig price starting from \xe2\x82\xb9299.00.  Get it now! \xf0\x9f\x91\x89\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/xWQJIoyatf';b'SprigStore';b''
2021-02-21 02:26:51;b'Xiaomi Redmi Note 9S Global Version\n\xe2\x82\xb18,630.00\nShop here. https://t.co/L9V8tMRKjq\nShop here. https://t.co/L9V8tMRKjq\xe2\x80\xa6 https://t.co/4GuEytykxa';b'JohnSmi70580638';b'Malolos City'
2021-02-20 23:20:04;b'\xf0\x9f\x98\x8d Sprig Clear Tempered Glass for Mi Redmi Note 8 Pro \xf0\x9f\x98\x8d\nby Sprig price starting from \xe2\x82\xb9227.00.  Get it now! \xf0\x9f\x91\x89\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/7zAjlGuOCw';b'SprigStore';b''
2021-02-20 21:32:00;"b""@Netflixhelps That's the error message that keeps coming up on the app, I'm currently using a xiaomi redmi 8 Pro, d\xe2\x80\xa6 https://t.co/K9GPbNHCuK""";b'Jace_Oji';b'Nigeria'
2021-02-20 20:40:12;b'@xStep47 redmi note 8 best phone';b'HydrolicAcid';b'in the digital world'
2021-02-20 18:48:49;b'Redmi Note 8 Gets Android 11 Update In China #TechnologyTimes - https://t.co/P9fMY9yEKw https://t.co/iSR6Jkz92f';b'techtimespk';b'Islamabad, Pakistan'
2021-02-20 18:45:25;b'@the_tipsybrush Yes, Redmi note 8';b'iamstanlee_';b'Lagos, Nigeria'
2021-02-20 17:10:05;b'\xf0\x9f\x98\x8d Sprig Clear Tempered Glass for Mi Redmi 8 \xf0\x9f\x98\x8d\nby Sprig price starting from \xe2\x82\xb9299.00.  Get it now! \xf0\x9f\x91\x89\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/4RWOVtMpmG';b'SprigStore';b''
2021-02-20 17:00:30;b'\xf0\x9f\x98\x8d Sprig Clear Tempered Glass for Mi Redmi Note 8 Pro \xf0\x9f\x98\x8d\nby Sprig price starting from \xe2\x82\xb9227.00.  Get it now! \xf0\x9f\x91\x89\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/a5YWkR2JL9';b'SprigStore';b''
2021-02-20 16:53:06;b'@subtanyarl realmi 5/5i, redmi note 8';b'gausalaysu';b''
2021-02-20 16:19:15;b'Ahem Ahem....#RedmiNote10proMax \xf0\x9f\x93\xa2\n.\nWill come in Two Variant \xe2\x9c\x8c\n\n6/128Gb\n8/128Gb \n\nYaa its same for #RedmiNote10pro\xe2\x80\xa6 https://t.co/4ukP1Rchol';b'MrPhoneTech';b'India'
2021-02-20 15:59:06;b'Android 11 update starts rolling out for the Redmi Note 8 https://t.co/Gzkz2MmeQi #notebookcheck #news #tech';b'nbc_net';b''
2021-02-20 15:16:09;b'Battery Cover Case For Xiaomi Redmi Note 8 #personalizedcases #android #cover #giftideas #iphone5\xe2\x80\xa6 https://t.co/4xeVDLCLD7';b'globalphonecase';b'India'
2021-02-20 14:40:18;b'Redmi Note 8 Starts Getting Android 11 Update https://t.co/2pI5yXhEhi';b'KhalidRafiq133';b''
2021-02-20 14:03:15;b'Redmi note 10 pro max\n\nColors -Glacier blue, Vintange Bronze, Gradient bronze, Onyx gray, Dark night\nStorage - 6+12\xe2\x80\xa6 https://t.co/lRJFl9Aa5Q';b'Princepower45';b'Patna, India'
2021-02-20 13:34:27;"b""@GenshinImpact Ganyu's wallpaper was super smooth and beautiful, but Venti's was super slow with a low fps, my devi\xe2\x80\xa6 https://t.co/E3F6i1m4Qz""";b'Jadson_Silva100';b'Recife'
2021-02-20 13:29:16;b'Updates: Redmi Note 8 Android 11, M2 Pro Update, Mi 10/10T 12.0.3.0, Mi ... https://t.co/AlQKHOfd8V via @YouTube';b'androguruji';b'New Delhi, India'
2021-02-20 13:00:00;b'@TrakinTech Yes got it for redmi note 8';b'PardeshiJateen';b'Pune, India'
2021-02-20 12:50:39;b'Mehn my @XiaomiNigeria Redmi Note 8 don dey do wetin i nor know o.... Touch one app onoda one wey no dey that page\xe2\x80\xa6 https://t.co/4Krulpr06J';b'ob_tensei';b'somewhere under the sky'
2021-02-20 12:35:05;b'@realmecareIN when wil stable realme ui 2.0 based on android 11 rolling out for realme 7pro?\nEven redmi note 8 got it.';b'mlngowtham';b'Amaravathi, India'
2021-02-20 12:25:04;b'Xiaomi Redmi K40 is Released, Exp, March 2021 Unconfirmed Specs it has Octa-core CPU, 6GB RAM, 128GB Storage, 6.67\xe2\x80\xa6 https://t.co/6vSlheyO7X';b'ChauderyAhmed';b''
2021-02-20 12:24:02;b'Along With Note 10 and Note 10 Pro there is One More Varient\nRedmi Note 10 Pro Max\n\n\xf0\x9f\x92\xbb6+128GB\n\xf0\x9f\x92\xbb8+128GB\n\xf0\x9f\x92\xafBlack, Bronz\xe2\x80\xa6 https://t.co/dkBALnQa9n';b'Tech_EdgeTE';b''
2021-02-20 12:17:16;b'@jayesh13353356 @chunvn8888 I own one redmi note 8 . So I was worried whether my note 8 would recieve android 11 up\xe2\x80\xa6 https://t.co/zwSM4EokBX';b'Zaheer__Khan098';b'Mumbai, India'
2021-02-20 12:11:50;b'@UniverseIce second one looks like the standard wallpaper of the redmi note 8 pro (which I use)';b'stupidnametag';b''
2021-02-20 12:09:39;b'@barna0409 Tried. Did a extremely overwhelming job. @XiaomiIndia \nWaiting for India version of MIUI 12.5 or at the\xe2\x80\xa6 https://t.co/4GQKKDWUw0';b'Wahidkhan7852';b''
2021-02-20 12:07:04;b'Leak\n\nWhat else is launching besides the #RedmiNote10 and #RedmiNote10Pro?\n\nRedmi Note 10 Pro Max. It will come in\xe2\x80\xa6 https://t.co/NmjR3bc1J4';b'XiaomiIndiaFan2';b''
2021-02-20 11:59:51;b'What else is launching besides the #RedmiNote10 and #RedmiNote10Pro?\n\nRedmi Note 10 Pro Max. It will come in 2 stor\xe2\x80\xa6 https://t.co/tGIAxPI4j0';b'ishanagarwal24';b'\xe2\x81\xb7 Mount Weather'
2021-02-20 11:46:18;b'@DirtyDiamon_d Go for Xiaomi Redmi Note 8 or 9\n\n128G Memory\n6G RAM\n48MP Quad camera\n16MP front can\n\n90k-100k for no\xe2\x80\xa6 https://t.co/nkL7I8fgmY';b'OpenYourMindTV1';b'Federal Capital Territory, Nig'
2021-02-20 11:28:35;b'@undipmenfess Redmi note 8. Gua pake.. Worth  kok';b'HartaTahtaNana';b'Indonesia'
2021-02-20 11:20:12;b'Xiaomi Redmi 9 is Unconfirmed Specs it has Octa-core CPU, 4/6 GB RAM, 64/128 GB Storage, 6.6 inches Display, 13+8+5\xe2\x80\xa6 https://t.co/eDObgOT23g';b'ChauderyAhmed';b''
2021-02-20 11:20:11;b'@SpotifyCares Redmi note 4\nAndroid 7.0\nVer 8.6.0.830';b'greatleebon';b'Indonesia  \xf0\x9f\x87\xae\xf0\x9f\x87\xa9'
2021-02-20 10:50:19;b'Android 11 soon for Redmi note 8 users \xf0\x9f\x99\x8c\n@Siva_Bharani\nThank you Nanba \xf0\x9f\xa4\x9d @TTechinical\n\nhttps://t.co/qm4zyT1Q05';b'haddin7';b''
2021-02-20 10:42:37;b'Redmi Note 8 gets Android 11 update in China \n\n#Xiaomi #redminote8 https://t.co/MHRuhzcQoi';b'RaghavTechie';b'India'
2021-02-20 10:40:24;b'@chunvn8888 What ??? Redmi note 8 is gonna receive android 11 update ??? \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3 Really...!!??';b'Zaheer__Khan098';b'Mumbai, India'
2021-02-20 10:16:30;b'Redmi note 8 getting android 11 update in china. #Redmi #Redminote8 #Android11 https://t.co/bpLc7IzMVD';b'Ninadhjampala';b''
